# Advanced Karpathy-style corpus for a larger, denser wiki.
# Format:
# URL | Title | year=YYYY; venue=...; area=...; families=a,b; tags=x,y

# Foundations and scaling
https://arxiv.org/pdf/1706.03762.pdf | Attention Is All You Need | year=2017; venue=NeurIPS; area=Foundation Models; families=Transformer,Encoder-Decoder; tags=attention,sequence-modeling,architecture
https://arxiv.org/pdf/1810.04805.pdf | BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding | year=2018; venue=NAACL; area=Foundation Models; families=Encoder-Only,Transformer; tags=pretraining,masked-language-modeling,transfer-learning
https://arxiv.org/pdf/1910.10683.pdf | Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer | year=2019; venue=JMLR; area=Foundation Models; families=Seq2Seq,Text-to-Text,Transformer; tags=t5,transfer-learning,unification
https://arxiv.org/pdf/2001.08361.pdf | Scaling Laws for Neural Language Models | year=2020; venue=arXiv; area=Scaling and Foundation Models; families=Decoder-Only,Scaling Laws; tags=scaling-laws,compute,loss-prediction
https://arxiv.org/pdf/2005.14165.pdf | Language Models are Few-Shot Learners | year=2020; venue=NeurIPS; area=Scaling and Foundation Models; families=Decoder-Only,In-Context Learning; tags=gpt-3,few-shot,emergence
https://arxiv.org/pdf/2204.02311.pdf | PaLM: Scaling Language Modeling with Pathways | year=2022; venue=JMLR; area=Scaling and Foundation Models; families=Decoder-Only,Transformer; tags=palm,pathways,reasoning
https://arxiv.org/pdf/2203.15556.pdf | Training Compute-Optimal Large Language Models | year=2022; venue=arXiv; area=Scaling and Foundation Models; families=Decoder-Only,Scaling Laws; tags=chinchilla,compute-optimal,data-scaling
https://arxiv.org/pdf/2302.13971.pdf | LLaMA: Open and Efficient Foundation Language Models | year=2023; venue=arXiv; area=Open Foundation Models; families=Decoder-Only,Transformer; tags=llama,open-weights,efficiency
https://arxiv.org/pdf/2307.09288.pdf | Llama 2: Open Foundation and Fine-Tuned Chat Models | year=2023; venue=arXiv; area=Open Foundation Models; families=Decoder-Only,Chat Models; tags=llama-2,open-weights,chat

# Alignment and post-training
https://arxiv.org/pdf/2203.02155.pdf | Training language models to follow instructions with human feedback | year=2022; venue=NeurIPS; area=Alignment and Post-Training; families=Instruction-Tuning,RLHF; tags=instructgpt,alignment,preference-data
https://arxiv.org/pdf/2204.05862.pdf | Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback | year=2022; venue=arXiv; area=Alignment and Post-Training; families=RLHF,Chat Models; tags=helpful-harmless,anthropic,assistant
https://arxiv.org/pdf/2212.08073.pdf | Constitutional AI: Harmlessness from AI Feedback | year=2022; venue=arXiv; area=Alignment and Post-Training; families=AI Feedback,Constitutional Training; tags=constitutional-ai,harmlessness,self-critique
https://arxiv.org/pdf/2106.09685.pdf | LoRA: Low-Rank Adaptation of Large Language Models | year=2021; venue=ICLR; area=Alignment and Post-Training; families=Parameter-Efficient Finetuning,Low-Rank Adaptation; tags=lora,peft,adaptation
